seed	replicate	model	label	factor	bits	value	predecessor	gap
20260909	1	upward_scan	RSA-260	2	431	4758707492161584245837036058150234747046948257557155576357319566887932209284384621896104286312224339934686597056662437870696723919	4758707492161584245837036058150234747046948257557155576357319566887932209284384621896104286312224339934686597056662437870696722617	1302
20260909	2	uniform_accepted	RSA-100	1	165	44695880268076835892891538055444387280209353812719	44695880268076835892891538055444387280209353812587	132
20260909	2	uniform_accepted	RSA-100	2	165	42064627596489765242079420849462504695953929230993	42064627596489765242079420849462504695953929230987	6
20260909	2	uniform_accepted	RSA-110	1	182	6001827822173821784728665736823289520572593415436489769	6001827822173821784728665736823289520572593415436489721	48
20260909	2	uniform_accepted	RSA-110	2	182	5657150691947262487374408244918193485376045924948134571	5657150691947262487374408244918193485376045924948134439	132
20260909	2	uniform_accepted	RSA-120	1	198	330443797066844192317986994385691057435955421404577623384241	330443797066844192317986994385691057435955421404577623383923	318
20260909	2	uniform_accepted	RSA-120	2	199	753608589662477734192586839799065434419158587893154366889667	753608589662477734192586839799065434419158587893154366888989	678
20260909	2	uniform_accepted	RSA-130	1	215	46106409350217654483417014804379291249851147081459685411070432157	46106409350217654483417014804379291249851147081459685411070432109	48
20260909	2	uniform_accepted	RSA-130	2	215	43799209388485340862517058204338712618059817139629338680916580099	43799209388485340862517058204338712618059817139629338680916580021	78
20260909	2	uniform_accepted	RSA-140	1	231	3272655685619404432669346777455095314189715172459250229664009141537841	3272655685619404432669346777455095314189715172459250229664009141537781	60
20260909	2	uniform_accepted	RSA-140	2	232	5557431879403460626684989926287628782637307078220987620729603605268491	5557431879403460626684989926287628782637307078220987620729603605267963	528
20260909	2	uniform_accepted	RSA-150	1	248	348833866568117378709353277923796222519030371739555295893371502774700013807	348833866568117378709353277923796222519030371739555295893371502774700013531	276
20260909	2	uniform_accepted	RSA-150	2	248	361767259587075242150650688176911240358294549589857341298397183493444272171	361767259587075242150650688176911240358294549589857341298397183493444271757	414
20260909	2	uniform_accepted	RSA-160	1	265	48753990228484159519885569495106504715716824159047905623139732152164366833471199	48753990228484159519885569495106504715716824159047905623139732152164366833471187	12
20260909	2	uniform_accepted	RSA-160	2	265	48955593647039720152491601112472296172901162054182659908815367774318554978941777	48955593647039720152491601112472296172901162054182659908815367774318554978941543	234
20260909	2	uniform_accepted	RSA-170	1	281	3477205581962741298601145076220703438347553124505608043229706577028307851107565621147	3477205581962741298601145076220703438347553124505608043229706577028307851107565620973	174
20260909	2	uniform_accepted	RSA-170	2	282	7434820172651455827375269424501340156383366833747702523483133172560671798115385965589	7434820172651455827375269424501340156383366833747702523483133172560671798115385965409	180
20260909	2	uniform_accepted	RSA-180	1	298	393127966042776406707022123780318503200365583285573935042005872460257045712818857263265409	393127966042776406707022123780318503200365583285573935042005872460257045712818857263264953	456
20260909	2	uniform_accepted	RSA-180	2	298	436496753757208639430945336378750358277015318135467115427327949010337035551337130353594013	436496753757208639430945336378750358277015318135467115427327949010337035551337130353594001	12
20260909	2	uniform_accepted	RSA-190	1	314	29797417782668979997080488230005004102036530785711719547567035408319646363492255460705696371287	29797417782668979997080488230005004102036530785711719547567035408319646363492255460705696370669	618
20260909	2	uniform_accepted	RSA-190	2	315	63213948716465942335592664269488298558549612113281282829691663351784178340542024633730434276943	63213948716465942335592664269488298558549612113281282829691663351784178340542024633730434276829	114
